S3_URL,50_word_description
https://futraichat.s3.ap-south-1.amazonaws.com/poolinstructortrainee/5emergeswithdamphair/9ebc4a13b77a4f67a4dda86b63e2ad32.jpeg,"yellow, bikini, top, swimwear, water, pool, swimming, wet skin, shiny, relaxed, posture, indoors, swimsuit, leisure, fashion, summer, sunlight, activity, minimal clothing, strapless, tied knot, hair wet, dark hair, standing, aquatic, sensual, bathing suit, curved, glowing skin, body, confidence, style, recreation, lifestyle, exposed shoulders, swimming pool, hydrated, moisture, elegant, poolside, fresh appearance, chest, toned, holiday, sexy, charm, peaceful, modeling, glamour, posing, focus."
https://futraichat.s3.ap-south-1.amazonaws.com/poolinstructortrainee/1removessaronginthewashroom/242fc6e095404215ba855d13e51fbae9.jpeg,"yellow bikini, swimsuit, white cloth, wrap, tied, beachwear, tan skin, indoor, bathroom, mirror, reflection, standing, relaxed, casual posture, long hair, wavy hair, brown hair, holding cloth, minimal accessories, bracelet, door, tile walls, intimate setting, posing, sensual, modeling, warm lighting, summer vibe, leisure, revealing attire, soft shadows, smooth skin, tight fit top, bottom wear, minimal coverage, wardrobe, decoration, feminine, elegant, confident, wrapped cloth, beauty, aesthetic, swimwear style, contemporary design, simplicity, neutral backdrop, interior, soft colors"
https://futraichat.s3.ap-south-1.amazonaws.com/poolinstructortrainee/4Shesubmergestointensifythemoment/4688aca8dba843c689142f4397909086.jpeg,"yellow bikini, underwater, swimming, water bubbles, aquatic, exposed shoulders, strapless top, flowy hair, motion, submerged, wet hair, deep blue, relaxation, summer, swimsuit, modeling, elegant, aquatic environment, minimal clothing, sensual, swimming pool, clear water, movement, form-fitting, figure, relaxed pose, aesthetic, underwater shoot, playful, ocean theme, confident, fluid, streaming hair, bright yellow, tranquil, open back, sunlight reflections, arms bent, vibrant, posing, serene, swimming motions, body curves, underwater expression, glamour, aquatic photoshoot, stylish, artistic photography, water activity, beauty, submerged setting, defined posture"
https://futraichat.s3.ap-south-1.amazonaws.com/poolinstructortrainee/1removessaronginthewashroom/CopyofCopyof2577ece11dd84ac498f537f102f32041.jpeg,"yellow bandeau bikini, white wraparound skirt, indoors, bathroom, standing pose, glass door, tan skin, long black hair, minimal accessories, neutral wall color, relaxed posture, exposed midriff, summer wear, swimwear, casual vibe, calm demeanor, fitted clothing, tying skirt, leisure, warm lighting, modern setting, semi sensual, outfit focus, bare shoulders, beachwear style, curvy silhouette, minimal decor, simple elegance, confident stance, bathing suit bottom, resort mood, vacation setting, feminine look, daytime, self-assured presence, white fabric, open tie, simplicity, flowy skirt, casual dressing, private moment, subtle styling, tied fabric, smooth skin, fashionable composition, swim-focused attire, soft tones, low-key atmosphere, clean environment, resort feel."
https://futraichat.s3.ap-south-1.amazonaws.com/poolinstructortrainee/4Shesubmergestointensifythemoment/8a0b582c9a0641158e6f73c99da894ebPhotoroom.png,"yellow strapless bikini, underwater, pool or ocean setting, swimming, vibrant environment, relaxed body language, wet hair, flowing hair, aquatic scene, yellow swimwear, tied bikini bottom, water bubbles, submerged, shining water reflections, toned physique, deep blue background, underwater modeling, serene surrounding, stylish pose, leisure activity, graceful appearance, summer vibe, underwater serenity, swimmer in motion, fashionable bikini top, rippling water, exotic scenery, holiday setting, aquatic beauty, beachwear style, tropical ambience, swimming motion, bikini knot, arms positioned casually, fitness aesthetics, sunny impression, playful essence, artistic look, relaxed demeanor, ripples on water surface, swimsuit modeling, summer activity, peaceful setting, underwater clarity, vacation mood, illuminated water surface, oceanic atmosphere, tranquil water scene, stylish swimwear choice, underwater glow."
https://futraichat.s3.ap-south-1.amazonaws.com/poolinstructortrainee/3posesseductivelywhileteaching/extras/244fdba07d4847a6879fe7540d1390d2.jpeg,"yellow, bikini, swimwear, tube top, backless, water, poolside, indoors, wet skin, long hair, wavy hair, black hair, earrings, casual, minimal accessories, smooth skin, tied back, relaxed, feminine, glossy, fashion, posed, tan, vibrant, minimalistic, summer, resort, sensual, sport, lifestyle, leisure, close-up, rear view, halter, sexy, subtle, aesthetic, swimming, serene, modern, elegant, flattering, stylish, bathing suit, recreation, aquatic, youthful, lounging, evening, swim, backdrop, neutral colors"
https://futraichat.s3.ap-south-1.amazonaws.com/poolinstructortrainee/2Invitingtraineetogetinwater/128906bed32b400886e7a00b825d3972.jpeg,"yellow, bikini, strapless, top, swimwear, soaked, wet, shiny, glistening, water, swimming pool, indoors, leisure, recreation, summer, aquatic, exposed shoulders, long hair, brunette, slicked back, swimsuit, relaxation, vacation, beachwear, intimate, revealing, slim build, chest, neckline, glossy, swim, sensual, sunlight, ripple effect, sitting, standing, gazing, posing, bright, fashion, relaxed, stylish, fresh, dripping, tan, attractive, holiday, wet look, vibrant, minimalist, beauty"
https://futraichat.s3.ap-south-1.amazonaws.com/poolinstructortrainee/3posesseductivelywhileteaching/289baea3694646549d046d0958fdd994.jpeg,"yellow bikini, bandeau top, tied side bottoms, swimming pool, water, indoor pool, wet skin, glistening, standing pose, confident, relaxed, seductive, sensual, long hair, black hair, wavy hair, tan skin, slim figure, leisure, summer vibes, arm bracelet, casual jewelry, wet look, posing, tiled wall, body focus, swimwear, beauty focus, lounging, tropical atmosphere, contemporary setting, youthful, indoor environment, arms resting, tranquil, minimal décor, bold color, semi-submerged, enticing, swim session, glamorous, fashion photo, vibrant, lifestyle photo, attractive, wet effect, spotlight, swimming area, poised posture, engaging setting"
https://futraichat.s3.ap-south-1.amazonaws.com/poolinstructortrainee/2Invitingtraineetogetinwater/CopyofCopyofc0b89255d16a436cbeaabb1644d29c0c.jpeg,"yellow bikini, strapless, knotted top, tied bottom, swimming pool, water, indoors, wet look, long hair, dark hair, sleek hair, standing, posing, confidence, hand gesture, relaxed body language, swimsuit, evening, artificial light, minimal accessories, toned body, tanned skin, leisure, bright colors, summer vibe, aquatic setting, casual atmosphere, calm expression, revealing outfit, bathing attire, fashion, trendy, fitness, slender figure, serene, aesthetic image, modern swimwear, stylish, playful vibe, tropical, vacation, carefree, clear water, blue water, minimalist, spa-like, exotic, clean background, peaceful setting, alluring"
https://futraichat.s3.ap-south-1.amazonaws.com/poolinstructortrainee/4Shesubmergestointensifythemoment/ec924a5888af4227925db53332cf8cb4.jpeg,"yellow bikini, underwater, pool, swimming, two-piece swimwear, tied sides, clear water, underwater lighting, glowing reflections, vibrant colors, ocean vibe, aquatic setting, fitted top, strapless bikini, posed stance, swimming pool backdrop, toned body, arms submerged, calm water, sleek hair, playful pose, ribbon detail, aquatic environment, confidence, swimwear elegance, peaceful ambiance, bikini fashion, golden hues, submerged model, female figure, radiant look, tied swimsuit, poised, vibrant backdrop, water clarity, sunlit ripples, alluring setting, modern swimwear, serene underwater, leisure activity, svelte silhouette, bold color choice, maintained posture, graceful movement, aquatic atmosphere, artistic water scene, smooth lighting, energetic ambiance"
