S3_URL,50_word_description
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/aswathy/images/1750492602_1750067065_Bk_ABR4YK8D5p9QavPU4i_49f57eb2132c471cb8a416b4222cdb54.jpg,"Attractive female, long dark flowing hair, part in middle, smooth complexion, defined eyebrows, long eyelashes, brown eyes, light pink lips, neutral expression, subtle smile, direct gaze, taking selfie, holding black smartphone, cream v-neck top, purple floral print, green leaves, gold drop earrings, plain beige background, indoors, relaxed posture, upper body, modest neckline, casual, elegant, soft lighting, simple backdrop"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/aswathy/images/1750492602_1750067060_002.jpg,"Woman, dark wavy hair, brown eyes, direct gaze, neutral expression, red scoop-neck crop top, black jeans, short sleeves, seated, light grey sofa, indoor, living room, potted plants, warm background, calm, composed, hands clasped, slight cleavage, natural, casual, front-facing, waist-up, comfortable, well-lit, soft light, serene"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/aswathy/images/1750492602_1750067076_xgQaM4CKRYNwwlWJMKjX__e6cbf3b459ec40a584b9a25c84e42328.jpg,"young woman, long dark wavy hair, radiant skin, red traditional attire, golden embroidered patterns, sheer red dupatta, elaborate gold jhumka earrings, white pearl details, outdoor natural light, blurred green foliage background, building structure, calm facial expression, gentle smile, direct gaze, head tilted, relaxed upper body, elegant posture, serene atmosphere"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/aswathy/images/1750492602_1750067074_loVuzjEksIjsArdXfAVZF_b1cad99c2dfc4b37969309cc48ad14ab.jpg,"Green tank top, gold embroidered patterns, gold hoop earrings, long wavy dark brown hair, fair skin, serene expression, gentle smile, direct gaze, shoulders visible, relaxed posture, upper body shot, outdoor setting, blurred green foliage, soft yellow bokeh lights, warm glowing atmosphere, natural light, elegant appearance, calm demeanor, posed gracefully for portrait"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/aswathy/images/1750492602_1750067079_fldTmx5isjn2CO5NipeGq_7e7d34a79c0248bb933e3c0097676236.jpg,"Young woman, dark wavy hair, red spaghetti strap top, deep V-neckline, prominent cleavage, direct gaze, calm expression, brown eyes, light makeup, full lips, fair skin, indoor setting, blurred red brick wall, glowing orange neon sign reading ""BOCSTER"", background elements, small green potted plant, relaxed posture, upper body shot, artificial lighting, soft shadows, confident, inviting, alluring"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/aswathy/images/1750492603_1750067075_WkUCJ5Tu9DrLHCVNGDu2e_c9b2e63f88e64781817f9abd2c88d101.png,"young woman, dark hair, neatly styled, brown eyes, light complexion, wearing black lace camisole, deep V-neckline, intimate apparel, loungewear, indoor setting, soft natural lighting, plain light background, off-white wall, looking upward, contemplative gaze, slightly parted lips, relaxed upper body, calm expression, elegant, delicate, subtle makeup, slender neck, small gold hoop earring, exposed shoulder, serene atmosphere, pensive, subtle, graceful, gentle"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/aswathy/images/1750492603_1750067064_dEUq1hxp3_hK0ZXmuj8jm_28cdd2efa07e4fd2a0c9e4f39918e79f.jpg,"Female, brown wavy hair, fair skin, light brown eyes, natural makeup, gentle smile, calm expression, looking directly, relaxed posture, leaning against, white textured wall, simple background, black ribbed long-sleeve, turtleneck top, light blue jeans, casual outfit, serene portrait, upper body visible, outdoor setting"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/aswathy/videos/1750492603_1750086960_Professional_Mode_model_looking_into_the_camera__h(1).mp4,"Woman, standing, neutral expression, calm, direct gaze, dark hair, shoulder-length, metallic greyish-blue, shiny, long-sleeved, collared jacket, button-front, large pockets, wide-leg pants, matching set, studio, plain background, hands in pockets, relaxed, full-length portrait, comfortable, non-sensual, covered, modest"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/aswathy/images/1750492603_1750067066_lj11c86KdB1u9KE2hk2J_22b57753c6f0468ab816e10099353a83.jpg,"Young woman, long dark wavy hair, medium complexion, brown eyes, serene facial expression, direct gaze, wearing a thick olive green chunky knit sweater, comfortable attire, relaxed body language, hand near shoulder, indoor setting, soft warm lighting, blurred background, numerous golden bokeh lights, inviting ambiance, cozy, intimate"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/aswathy/images/1750492603_1750067072_nWWJm2Q4hhN9SAgLVOPuN_61da220a2a654ac9a7f097f3d80c8b92.jpg,"Young woman, dark long hair, deep brown eyes, fair skin, light makeup, lying down, white pillow, relaxed posture, direct gaze, gentle expression, comfortable setting, soft natural lighting, intimate bedroom environment, casual attire, simple white tank top, round neckline, shoulders visible, serene, calm, upper body shot, natural appearance."
